sample_in_window,time_seconds_in_window,absolute_time_seconds_in_recording,prob_Fpz,prob_Fp1,prob_Fp2,prob_AF3,prob_AF4,prob_AF7,prob_AF8,prob_Fz,prob_F1,prob_F2,prob_F3,prob_F4,prob_F5,prob_F6,prob_F7,prob_F8,prob_FCz,prob_FC1,prob_FC2,prob_FC3,prob_FC4,prob_FC5,prob_FC6,prob_FT7,prob_FT8,prob_Cz,prob_C1,prob_C2,prob_C3,prob_C4,prob_C5,prob_C6,prob_T7,prob_T8,prob_CP1,prob_CP2,prob_CP3,prob_CP4,prob_CP5,prob_CP6,prob_TP7,prob_TP8,prob_Pz,prob_P3,prob_P4,prob_P5,prob_P6,prob_P7,prob_P8,prob_POz,prob_PO3,prob_PO4,prob_PO5,prob_PO6,prob_PO7,prob_PO8,prob_Oz,prob_O1,prob_O2
10,0.04,306.04,0.001999102,0.8575655,0.9148821,0.0034782307,0.00018168919,0.0007816685,0.0032470608,0.44994104,0.00010488807,0.00026182685,0.14903153,0.053804502,0.0003055056,0.000498438,0.6314886,0.8751934,0.025558287,1.6294125e-05,0.0007581912,0.0006574453,0.00021407219,7.096125e-05,0.00075038866,0.017343234,0.022850877,0.0031922173,0.00037605845,0.0037135775,0.00479324,0.0036814932,0.002341529,0.0015273737,0.061081175,0.30645317,0.019314973,0.00048506266,0.002098261,0.002055742,0.0007941801,0.0013803067,0.007988006,0.003436157,0.002451437,0.0093588345,0.012966675,0.005580542,0.0037036494,0.0042269886,0.008904842,0.0025316698,0.0029628978,0.0044756634,0.002430818,0.003500109,0.000842393,0.0022821603,0.0008792727,0.0026431219,0.008440785
11,0.044,306.044,0.002018766,0.8471593,0.915677,0.004602369,0.00020897671,0.00090513984,0.0035333738,0.50974834,0.00010795976,0.0002546369,0.1140223,0.04130927,0.00030292777,0.00052186084,0.5988818,0.87563074,0.023353333,1.7600376e-05,0.00062659325,0.00047337284,0.00016415713,7.087847e-05,0.00078572286,0.014957276,0.018059324,0.0034075477,0.00042987528,0.0040542954,0.0050187274,0.003898326,0.00222441,0.001757065,0.06320855,0.32047418,0.0244511,0.0006105402,0.002628457,0.0024238268,0.0009009457,0.0019156702,0.009520309,0.003835574,0.0033317127,0.0155217,0.01911229,0.0074432734,0.0056005665,0.006374078,0.01179581,0.002818451,0.0037595853,0.005412167,0.0027490477,0.004064343,0.001023486,0.0023917651,0.0009889591,0.0036827214,0.009949853
12,0.048,306.048,0.0019462549,0.83119255,0.91347945,0.006229476,0.00024115876,0.0010822327,0.00378988,0.5832513,0.00012767709,0.00030762603,0.11469921,0.0412091,0.00035358703,0.00056194,0.5777209,0.877285,0.0251998,2.0903606e-05,0.00053536706,0.00037902416,0.00013402147,7.643726e-05,0.0009562283,0.0131811565,0.01402525,0.0037825832,0.0005343011,0.0054036644,0.0059521636,0.0044210386,0.002075088,0.002067849,0.075817555,0.3548921,0.035890438,0.00081360806,0.0036034696,0.0033372147,0.001311932,0.003205889,0.013559496,0.0053220154,0.006367778,0.034296237,0.037221313,0.014489506,0.011090825,0.010896278,0.016417032,0.0037290587,0.006293369,0.007202153,0.003196917,0.005148745,0.001314774,0.0026169939,0.0011575988,0.0049774405,0.011532068
13,0.052,306.052,0.0017514452,0.81296724,0.91027445,0.0067611537,0.00020435273,0.0009200791,0.0034005935,0.59173375,0.00015140271,0.00030426992,0.10401925,0.04205799,0.0003505348,0.00053899956,0.57494646,0.87304294,0.021749714,2.432287e-05,0.0004454122,0.00028197063,0.00010497733,8.617847e-05,0.0011450137,0.012562109,0.0119325835,0.0042425236,0.00066920824,0.0061111734,0.0062067667,0.0048593516,0.0021097017,0.0023027414,0.07766217,0.35197023,0.03983234,0.00093735574,0.004136513,0.003906339,0.0016601399,0.0040081986,0.014728932,0.006501759,0.00832687,0.04750495,0.054441806,0.020367613,0.01555315,0.0150824785,0.0189815,0.0036329287,0.007251599,0.007933136,0.003386225,0.005348172,0.0014270955,0.0027117545,0.0012546125,0.0058700196,0.011838849
14,0.056,306.056,0.0015920738,0.78784734,0.90649104,0.0061372253,0.00012874855,0.00059409166,0.0026472895,0.5356986,0.0001569418,0.0002502984,0.07669962,0.03980847,0.0003078936,0.0004984,0.6244368,0.8708212,0.015486547,2.7499083e-05,0.00037499145,0.00021400055,8.297511e-05,8.45033e-05,0.0012550952,0.012999128,0.011019347,0.0050074942,0.00073639135,0.0055417414,0.005835331,0.0055734916,0.002306177,0.002318329,0.073764704,0.32333857,0.03816531,0.00094374653,0.0039839176,0.0040881513,0.001814994,0.004276462,0.013401061,0.006290498,0.007721248,0.04254811,0.06321581,0.019776354,0.015943935,0.016334856,0.017460555,0.0025734908,0.0057656644,0.006588064,0.0029024028,0.0046327407,0.0013716546,0.0024258085,0.0012310223,0.005025471,0.011348578
15,0.06,306.06,0.0013283037,0.76365495,0.8974584,0.0055642654,7.855459e-05,0.00035473786,0.001977199,0.5139668,0.000129382,0.00020383763,0.06827689,0.044233933,0.00026068056,0.0004630666,0.710459,0.87507063,0.011820994,2.6095555e-05,0.0003193071,0.00017896907,6.9340625e-05,6.5654254e-05,0.0012381803,0.013931283,0.009280307,0.0054059387,0.00073393993,0.0058708964,0.0061832517,0.0063060885,0.0023563113,0.0023513788,0.08829751,0.30826214,0.035789143,0.00097302167,0.0037173775,0.0043585873,0.0018065762,0.0038064031,0.010670834,0.0055627036,0.0059249126,0.0308746,0.056112465,0.01510949,0.013660067,0.016223384,0.016658602,0.0019959935,0.0040218458,0.0055023967,0.0026380308,0.0041209636,0.0014398216,0.0024914178,0.001230928,0.004867713,0.010692285
16,0.064,306.064,0.0011633803,0.7410875,0.89129674,0.0049386276,4.7853653e-05,0.00021270676,0.0014750838,0.5602264,9.173258e-05,0.00016389374,0.08242199,0.05886849,0.00022866491,0.00044511782,0.78508806,0.880354,0.011100825,2.2857494e-05,0.00027381067,0.00017421045,6.1907405e-05,4.7988007e-05,0.0011457206,0.015389904,0.0069643725,0.0058464757,0.0008316094,0.0065633664,0.006939114,0.007827286,0.002513489,0.0024594658,0.10923873,0.29844278,0.032857977,0.000909406,0.0036895631,0.0047179707,0.0015004434,0.002939616,0.00780932,0.004367322,0.0043033785,0.018527722,0.042413123,0.009769542,0.009825531,0.013408465,0.0139432885,0.0015589946,0.002765103,0.004676961,0.002432377,0.0039037073,0.0015673141,0.0027336732,0.001208807,0.005083798,0.010641817
17,0.068,306.068,0.000971342,0.716806,0.88368666,0.0043823197,3.24732e-05,0.00014464595,0.0011448888,0.5936062,7.5016294e-05,0.00013635335,0.09330169,0.06460379,0.0001987845,0.00041678382,0.8130305,0.88163036,0.0094924355,2.0082218e-05,0.00024791292,0.00018417156,5.898633e-05,4.073682e-05,0.0010792356,0.018964535,0.0066689528,0.00765953,0.0011400323,0.008105349,0.008965554,0.011616798,0.0032422077,0.0027039521,0.1308311,0.31241015,0.03475679,0.00083314494,0.0036068351,0.004693271,0.001288283,0.0023947523,0.0058801738,0.003459081,0.003229714,0.0130848605,0.034409884,0.00676174,0.007975591,0.011228837,0.011799491,0.0012790089,0.0022331646,0.0042334343,0.0024269314,0.0039772214,0.0017130752,0.0028940164,0.0013839778,0.0050981664,0.010830841
18,0.072,306.072,0.0008129571,0.69293153,0.87344974,0.0039781244,2.4096888e-05,0.000112984366,0.0009832166,0.5651104,5.8134887e-05,0.00012662336,0.08382926,0.05146366,0.00017281427,0.0003521053,0.821171,0.8846141,0.008542481,1.8255185e-05,0.00022374743,0.00020150404,5.7324094e-05,3.855334e-05,0.0010535797,0.02693549,0.008009546,0.010594733,0.001726819,0.01006928,0.012253146,0.019309228,0.0043789884,0.0031295726,0.15498103,0.35090005,0.04294635,0.00072734756,0.0032716526,0.00445491,0.0011846635,0.0020721024,0.004755683,0.0027769436,0.0024500755,0.010885885,0.030086441,0.0051702955,0.0067050983,0.011335745,0.01108315,0.0011520052,0.0020287132,0.003668061,0.0027182682,0.0042990264,0.001684139,0.0029937623,0.001583934,0.006058297,0.01013178
19,0.076,306.076,0.000726877,0.6828082,0.8678205,0.0032781214,1.5929312e-05,8.8106855e-05,0.00085763383,0.5226202,4.022935e-05,0.00010607627,0.0711871,0.042244114,0.00015706096,0.00028299593,0.82942003,0.8920869,0.0076582897,1.5601445e-05,0.00020062276,0.00020002453,4.888542e-05,3.45277e-05,0.0010500536,0.034421306,0.0088383565,0.013851821,0.0022459358,0.012975405,0.016518282,0.029126449,0.0058328365,0.0031360209,0.18664235,0.40999535,0.048124984,0.00060931017,0.0032062102,0.004150883,0.0010288311,0.0017536592,0.004006505,0.0024320555,0.0019058099,0.009604452,0.028800886,0.0046198466,0.0064916206,0.0107474895,0.0105203865,0.0011646892,0.0022746106,0.0034135834,0.0028139679,0.004512855,0.0017849478,0.003116586,0.0017810167,0.0060451664,0.010382811
20,0.08,306.08,0.00062234915,0.67577255,0.856424,0.002925189,1.1862762e-05,7.228977e-05,0.00073213136,0.50017405,2.77834e-05,8.707465e-05,0.06158459,0.038467046,0.00014185229,0.00022937656,0.84037304,0.9012963,0.0065633287,1.3382325e-05,0.00018411501,0.00020021592,4.1639883e-05,3.0127047e-05,0.0010747781,0.039256614,0.008647762,0.014534187,0.00282665,0.016962133,0.022222143,0.042890165,0.0069970665,0.0027956087,0.22646923,0.47827005,0.050888076,0.0005306668,0.0035322825,0.0045792214,0.00091823126,0.0015303997,0.0038208358,0.0022686936,0.001656492,0.010180565,0.03499767,0.004934997,0.0063782013,0.010914897,0.010486953,0.0012724034,0.0031475304,0.0036982922,0.003006179,0.00485313,0.0020964604,0.0035911105,0.0019691666,0.006244451,0.009875649
21,0.084,306.084,0.00056906143,0.6943596,0.8594584,0.0026837334,1.0004911e-05,6.492302e-05,0.00068402436,0.5169942,2.3055576e-05,7.3042436e-05,0.065949604,0.042243164,0.00014213676,0.00020469438,0.86183107,0.91392064,0.0055941963,1.1784048e-05,0.00017981956,0.0002224066,3.9220275e-05,2.7430959e-05,0.001117682,0.04729644,0.009874912,0.016062206,0.0036040773,0.020488417,0.029729525,0.064607434,0.007852794,0.0026488688,0.29292047,0.53227186,0.05000972,0.00039749875,0.003935579,0.005287886,0.00085081614,0.0013968698,0.0037439673,0.0021850273,0.0014112788,0.010543567,0.043122534,0.005113783,0.0061054765,0.011369521,0.010244042,0.001319137,0.0039337105,0.0038235337,0.0031120116,0.005378054,0.0024577372,0.004170199,0.0021220744,0.0068399804,0.01082942
22,0.088,306.088,0.0005894425,0.7355776,0.8741528,0.0026381211,9.676052e-06,6.588921e-05,0.00068159227,0.56873375,2.2286189e-05,6.402366e-05,0.093124814,0.05861311,0.0001595432,0.00018807947,0.88357174,0.9238201,0.0049567576,1.1492866e-05,0.00018592343,0.0002693664,4.3445678e-05,2.531152e-05,0.0010841665,0.05745855,0.011540115,0.020437606,0.004420256,0.02328957,0.038434707,0.09469278,0.008062228,0.0024550906,0.37505278,0.58013207,0.04628768,0.00027627457,0.0039606597,0.005746371,0.00078942394,0.0012819817,0.0037818647,0.0020501884,0.0011518921,0.011650798,0.052137084,0.0047695264,0.005722173,0.011606171,0.010482486,0.0013404301,0.004486704,0.0041344077,0.0033891858,0.006007934,0.0030233862,0.005165074,0.0027166735,0.008051869,0.012499248
23,0.092,306.092,0.0006638931,0.78199506,0.88984007,0.0025908733,9.558199e-06,7.040739e-05,0.00066445547,0.6204856,2.5161728e-05,6.218899e-05,0.16595364,0.09776029,0.00018936844,0.00018872404,0.89695996,0.92993575,0.004622709,1.1124695e-05,0.00019354782,0.00034892178,4.9708233e-05,2.3619737e-05,0.0010436086,0.061411023,0.012735112,0.025397304,0.0047279317,0.023324132,0.04991872,0.123933874,0.0070036794,0.0021015082,0.49382952,0.63492626,0.03652833,0.000172389,0.0038016057,0.006266653,0.0006680978,0.0009938532,0.0034958639,0.0019357235,0.0009042753,0.010788267,0.051658653,0.0037363004,0.0046205837,0.011462809,0.010765919,0.0013343635,0.004282192,0.0039556064,0.0034752437,0.006441178,0.0033014272,0.0061981454,0.002883948,0.008311619,0.0152019495
24,0.096,306.096,0.00071708777,0.82233137,0.90281963,0.0023853795,8.701909e-06,7.366401e-05,0.00060158933,0.66445243,2.6125408e-05,6.33777e-05,0.30617654,0.1723493,0.00023533119,0.00017368418,0.90826017,0.93412876,0.004371212,1.047335e-05,0.00019079553,0.00045383954,6.332762e-05,2.2623175e-05,0.0009923384,0.06661448,0.0153150465,0.0314395,0.004322594,0.02164233,0.06698714,0.1604663,0.0058633005,0.0016282651,0.61587894,0.6937092,0.026388668,0.000110243884,0.0034861432,0.006464669,0.0004976464,0.000672689,0.0029512192,0.0016994536,0.00071760116,0.008734202,0.03955903,0.002649921,0.003256496,0.010021132,0.009901873,0.0012276728,0.0040284446,0.0035463602,0.0032806587,0.006119619,0.0035661112,0.006595852,0.0028207614,0.008584028,0.016330468
25,0.1,306.1,0.00080064766,0.8442128,0.911476,0.0023761494,8.647071e-06,7.798235e-05,0.00055564387,0.6876919,2.8367267e-05,6.7321875e-05,0.44989076,0.24951902,0.00025839536,0.00014263246,0.918492,0.9374024,0.003734872,9.085863e-06,0.0001858295,0.0005084126,7.627481e-05,2.189904e-05,0.000997149,0.07847604,0.020357572,0.042780243,0.0036423358,0.018712414,0.07954554,0.19549945,0.005380784,0.0012987803,0.68715566,0.7307329,0.020019133,7.140131e-05,0.0028072004,0.0056858803,0.00036850356,0.0004519295,0.002235496,0.0014248568,0.00049871247,0.005531717,0.02725238,0.001860907,0.0021851999,0.0077903196,0.008781511,0.0010715879,0.0037137326,0.0031226003,0.0029737358,0.0059220265,0.0034932238,0.0065541943,0.0028460473,0.00892401,0.018883595
26,0.104,306.104,0.0008660462,0.8595367,0.91661906,0.0024463956,9.9022145e-06,8.879503e-05,0.0005391311,0.69485325,3.172159e-05,7.4457326e-05,0.56831175,0.31820112,0.0002601981,0.000118447286,0.92362326,0.9398124,0.0028323114,8.476184e-06,0.00017778072,0.0005359575,9.211187e-05,2.1551805e-05,0.0010602706,0.08387657,0.024323795,0.054206397,0.0033122557,0.015300354,0.09161861,0.22501819,0.004677345,0.0011631543,0.7084232,0.7355616,0.015375177,5.227016e-05,0.0020627514,0.0042749415,0.00024887064,0.00030823404,0.0016554608,0.0011382349,0.0003165863,0.0034982269,0.018930834,0.0013329599,0.0014726501,0.0064692767,0.007555332,0.0009240373,0.0034786058,0.0028476054,0.0029295732,0.0055188495,0.0031935591,0.0061286916,0.00273958,0.008854328,0.019982785
27,0.108,306.108,0.0009165075,0.87130505,0.922415,0.0023470349,9.77e-06,8.8329114e-05,0.0004522926,0.6972342,3.7470883e-05,7.876965e-05,0.6630859,0.41492257,0.00026887015,0.000105209125,0.930054,0.94498914,0.0021041506,7.810151e-06,0.00018358456,0.00058563426,0.00010449534,2.0400328e-05,0.0011081299,0.082854755,0.02690507,0.05822236,0.00311982,0.013617729,0.10744418,0.25979733,0.0036979867,0.00092172826,0.72165716,0.73334867,0.009788802,3.7102756e-05,0.0017046275,0.0031071454,0.00017208929,0.00023434307,0.0013399816,0.0010023138,0.00022612889,0.0023651246,0.014331808,0.0012256685,0.0012833818,0.0052214307,0.0067475294,0.0008646539,0.0035985832,0.0027599495,0.0028980523,0.0056794565,0.0030037733,0.005844758,0.0024605526,0.007873335,0.01946677
28,0.112,306.112,0.0009368352,0.8866064,0.9297124,0.002041717,8.24761e-06,7.407525e-05,0.00034329147,0.71298826,4.243218e-05,7.390965e-05,0.74679846,0.5264146,0.0002595118,0.00010325797,0.93619305,0.95119643,0.001641143,7.76627e-06,0.0001942539,0.0006882364,0.000118238866,1.720635e-05,0.0011400633,0.07903532,0.02909407,0.059377365,0.0025492834,0.012484849,0.12914059,0.27942076,0.0028171004,0.000743553,0.7459112,0.73538786,0.0059343004,2.5900805e-05,0.0015103942,0.0024925973,0.00012551117,0.00019465253,0.0012295195,0.0009288671,0.0001950014,0.0019399566,0.011331674,0.0012652858,0.0013142877,0.0044780057,0.0064046346,0.00090027857,0.004014857,0.0028500936,0.002993546,0.0058843256,0.0029057802,0.0057614376,0.0021939103,0.0065719965,0.017764475
29,0.116,306.116,0.0010536842,0.9007905,0.93699205,0.0018524218,7.64707e-06,6.65088e-05,0.00026321047,0.73855054,4.624142e-05,7.438706e-05,0.80065936,0.6240067,0.00026776528,0.00010212997,0.9396174,0.95412177,0.0012110464,7.5288804e-06,0.0002006924,0.0008181168,0.00014715143,1.4732137e-05,0.0012782533,0.07495282,0.029986171,0.06497038,0.0019446395,0.011053281,0.15460402,0.29389548,0.002119259,0.00064805505,0.7694056,0.73350203,0.003526668,2.3781433e-05,0.0012256147,0.0018368887,9.544039e-05,0.00016000192,0.0011291611,0.0009051856,0.00019152899,0.0016387884,0.008965938,0.0012220471,0.001291783,0.003759496,0.0065809623,0.0010342096,0.0043297377,0.0030248296,0.0033719542,0.006230775,0.0028850948,0.005633686,0.002221659,0.006199638,0.015624672
30,0.12,306.12,0.0012705668,0.91361475,0.9426988,0.0017344541,8.132663e-06,7.132475e-05,0.00021856232,0.76223725,5.3422154e-05,7.6882825e-05,0.8298854,0.6866325,0.00027665094,9.8591474e-05,0.9408224,0.95526534,0.00092411175,7.018494e-06,0.00019604914,0.00092787103,0.00018804899,1.34515985e-05,0.0016450759,0.072750956,0.033763472,0.07823773,0.0013939177,0.0090670725,0.18103433,0.306401,0.001624333,0.0005818002,0.80662686,0.7301139,0.0020489702,2.1397636e-05,0.0010218269,0.001425824,7.316995e-05,0.00013736983,0.0010109445,0.00085426867,0.00018298303,0.0013284999,0.00783006,0.0012236463,0.0013184607,0.0032965748,0.0070819994,0.0012023303,0.0043249098,0.0030953693,0.0036912798,0.0064918613,0.0025160427,0.004987222,0.0021886274,0.0060633007,0.015037311
31,0.124,306.124,0.0014918204,0.9228198,0.9453802,0.001643479,8.737641e-06,8.224322e-05,0.00019276033,0.78005886,5.876938e-05,8.7908964e-05,0.84697807,0.7233892,0.00027753544,0.000101952966,0.9417236,0.95600617,0.00065550045,6.306739e-06,0.0002017713,0.0011367432,0.00024076564,1.1890772e-05,0.0021063546,0.07223519,0.04470673,0.09072208,0.0009382582,0.00769449,0.2068268,0.30796206,0.0013107393,0.0005113612,0.83708733,0.7297527,0.0012163358,1.9882567e-05,0.00084893935,0.0011427025,5.689082e-05,0.00010821898,0.0008923511,0.0008227434,0.00015803879,0.0011011767,0.0069770245,0.0011079673,0.0011095639,0.0029410867,0.0073497565,0.0012190546,0.0036313203,0.002937213,0.0040327,0.0063970983,0.0021113348,0.003938659,0.0019292616,0.005911307,0.013586732
