source,channel,channel_index,start_sample_in_window,stop_sample_in_window_exclusive,start_seconds_in_window,end_seconds_in_window,start_seconds_in_recording,end_seconds_in_recording,duration_seconds,threshold,mean_probability,max_probability,samples
model_prediction,T8,33,346,818,1.384,3.272,307.384,309.272,1.888,0.35,0.8722078800201416,0.9804565906524658,472
model_prediction,T8,33,824,1343,3.296,5.372,309.296,311.372,2.076,0.35,0.8574223518371582,0.9717227816581726,519
model_prediction,T8,33,1366,1868,5.464,7.472,311.464,313.472,2.008,0.35,0.8760385513305664,0.9884063005447388,502
model_prediction,T8,33,1911,2086,7.644,8.344,313.644,314.344,0.7,0.35,0.830600917339325,0.9771977066993713,175
model_prediction,T8,33,2092,2304,8.368,9.216,314.368,315.216,0.848,0.35,0.6842561364173889,0.9480412006378174,212
model_prediction,T8,33,2353,2414,9.412,9.656,315.412,315.656,0.244,0.35,0.7404716610908508,0.8830704092979431,61
model_prediction,P7,47,186,200,0.744,0.8,306.744,306.8,0.056,0.35,0.4615213871002197,0.5521359443664551,14
model_prediction,P7,47,1845,1877,7.38,7.508,313.38,313.508,0.128,0.35,0.439875066280365,0.5623745918273926,32
model_prediction,P7,47,1901,1984,7.604,7.936,313.604,313.936,0.332,0.35,0.7001314163208008,0.9116404056549072,83
model_prediction,P7,47,2324,2362,9.296,9.448,315.296,315.448,0.152,0.35,0.4395681321620941,0.5119112133979797,38
model_prediction,P7,47,2396,2441,9.584,9.764,315.584,315.764,0.18,0.35,0.617031455039978,0.8474373817443848,45
model_prediction,P8,48,1858,1868,7.432,7.472,313.432,313.472,0.04,0.35,0.3648368716239929,0.39521524310112,10
model_prediction,P8,48,1916,1934,7.664,7.736,313.664,313.736,0.072,0.35,0.39122745394706726,0.4475266635417938,18
model_prediction,P8,48,1950,1982,7.8,7.928,313.8,313.928,0.128,0.35,0.5377283692359924,0.6938010454177856,32
model_prediction,P8,48,2307,2319,9.228,9.276,315.228,315.276,0.048,0.35,0.3468126952648163,0.3777751624584198,12
model_prediction,P8,48,2398,2414,9.592,9.656,315.592,315.656,0.064,0.35,0.39845702052116394,0.4863366484642029,16
model_prediction,O2,58,2328,2353,9.312,9.412,315.312,315.412,0.1,0.35,0.44460877776145935,0.49736300110816956,25
model_prediction,O2,58,2390,2423,9.56,9.692,315.56,315.692,0.132,0.35,0.4438301622867584,0.526282012462616,33
